DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13657189957,2023-06-20T14:05:12.993Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13657189957,2023-06-12T07:46:48.153Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13672927557,2023-06-12T07:43:48.042Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13673020674,2023-08-09T10:52:14.611Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
13673020674,2023-07-17T16:08:48.44Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13673020674,2023-07-17T10:55:12.193Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13673020674,2023-07-10T14:30:51.591Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13673020674,2023-07-05T15:58:41.3Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13673020674,2023-06-12T07:42:39.881Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13677500700,2023-06-20T10:47:14.268Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13677519943,2023-12-18T12:40:28.63Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13678236592,2023-06-12T15:08:37.171Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13678238518,2023-06-12T17:22:25.811Z,default,Mid Market Pipeline,7960224,Lead Engaged,1
13678238518,2023-06-12T15:04:29.64Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13679717967,2023-06-12T17:04:20.574Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13679717967,2023-06-12T17:01:06.064Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13679717967,2023-06-05T09:42:08.587Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13679717967,2023-05-30T15:38:55.113Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13679717967,2023-05-19T21:44:55.331Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13679717967,2023-05-19T20:11:37.228Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13680445217,2023-06-12T19:02:27.673Z,default,Mid Market Pipeline,4b25ab61-cb79-435e-b40e-9fc1b873d6e0,Stalled,0
13683436034,2023-08-02T19:24:32.59Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13683436034,2023-06-29T13:25:59.553Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13683436034,2023-06-16T14:46:26.673Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13683436034,2023-06-14T08:54:55.084Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13693969803,2023-06-21T21:25:17.602Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13693969803,2023-06-14T21:47:28.558Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13695528617,2023-08-02T17:17:00.015Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
13695528617,2023-07-28T16:05:15.395Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13695528617,2023-07-27T00:00:07.429Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13695528617,2023-07-19T17:24:25.641Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13695528617,2023-06-15T13:55:16.467Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13695528617,2023-06-14T20:25:03.126Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13703648953,2023-07-05T17:26:16.442Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13703648953,2023-06-14T11:12:20.51Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13709986406,2023-08-17T15:19:57.662Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13709986406,2023-08-14T22:53:08.269Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13709986406,2023-06-30T16:39:24.665Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
